id,pillar,name,type,surface,tier,objective,primary_mit_risk,mitre_atlas,mitre_attack,eu_ai_act,nist_ai_rmf,iso_42001
SAF-01,Safety,Autonomous System Oversight,AI-Native,Agentic,T1,Continuously observe autonomous agent behaviour against a defined baseline and enable timely human intervention.,7.1 AI pursuing its own goals in conflict with human goals/values,"AML.TA0015 Command and Control (tactic, new in v5.1.0); AML.T…",Agentic Orchestration* Autonomous killchain orchestration (no ATT&CK ID yet); TA0011 Command and Control (tactic),"Art. 14, 15",MANAGE 4.1; MEASURE 2.x,"A.6.2, A.9"
SAF-02,Safety,Emergency Stop & Containment (Kill Switch),Adapted,Both,T1,"Provide a single, fast mechanism to halt, contain and isolate an AI system on a safety or security trigger.",7.1 AI pursuing its own goals in conflict with human goals/values,"AML.TA0015 Command and Control (tactic, new in v5.1.0); AML.T…",TA0011 Command and Control (tactic); T1020 Automated Exfiltration; T1219 Remote Access Software,"Art. 14, 15",MANAGE 4.1,A.6.2
SAF-03,Safety,Content Safety & Misuse Prevention,AI-Native,GenAI,T1,"Prevent generation of harmful, unsafe or policy-violating content and resist misuse and jailbreaks.",1.2 Exposure to toxic content,AML.T0054 LLM Jailbreak; AML.T0048 External Harms (Financial …,T1587 Develop Capabilities; T1587.001 Develop Capabilities: Malware; T1027 Obfuscated Files or Information,Art. 15,"MEASURE 2.6, 2.7; MANAGE 2.x",A.6.2
SAF-04,Safety,Output Factual Accuracy & Anti-Hallucination,AI-Native,GenAI,T2,Ensure factual grounding of generative outputs and detect and mitigate hallucination.,3.1 False or misleading information,AML.T0048 External Harms (Financial / Reputational / Societa…,N/A,Art. 15,MEASURE 2.3,A.6.2
SAF-05,Safety,AI Output Monitoring & Safeguards,AI-Native,Both,T2,"Monitor AI outputs at runtime for bias, harm, hallucination and drift, gating regulated decisions to humans.",3.1 False or misleading information,AML.T0048 External Harms (Financial / Reputational / Societa…,T1587 Develop Capabilities; T1020 Automated Exfiltration,"Art. 15, 72",MEASURE 2.x; MANAGE 4.1,A.9
ALN-01,Alignment,Autonomy Boundary Control,AI-Native,Agentic,T1,"Constrain each agent to an explicit, technically-enforced action space.",7.1 AI pursuing its own goals in conflict with human goals/values,AML.T0053 Compromise LLM Plugins / Tools; AML.T0048 External …,T1059 Command and Scripting Interpreter; T1219 Remote Access Software,Art. 14,MANAGE 4.1,A.9
ALN-02,Alignment,Human Oversight & Intervention,Adapted,Both,T1,"Guarantee accessible, timely human review, intervention and override of AI decisions and actions.",5.2 Loss of human agency and autonomy,"AML.TA0015 Command and Control (tactic, new in v5.1.0); AML.T…",TA0011 Command and Control (tactic); T1020 Automated Exfiltration,Art. 14,GOVERN 3; MANAGE 2.x,A.9
ALN-03,Alignment,Decision Interpretability,Adapted,General AI,T3,"Provide audience-appropriate explanations for AI outputs affecting people's rights, safety or health.",7.4 Lack of transparency or interpretability,N/A — not adversarial-security (transparency/sustainability …,N/A,Art. 13,MEASURE 2.9,A.8
ALN-04,Alignment,Model Explainability,Adapted,General AI,T3,"Make model decision logic explainable for accountability, audit and error-correction.",7.4 Lack of transparency or interpretability,N/A — not adversarial-security (transparency/sustainability …,N/A,Art. 13,MEASURE 2.9,A.8
ALN-05,Alignment,Output Labeling & Action Attribution,Adapted,Both,T2,Label AI-generated content and attribute autonomous agent actions to the agent.,3.1 False or misleading information,AML.T0048 External Harms (Financial / Reputational / Societa…,T1566 Phishing,Art. 50,GOVERN 1; MEASURE,A.8
GOV-01,Governance,Data Provenance & Input Integrity,Adapted,Both,T2,"Establish lineage and integrity of training and runtime inputs, including retrieval and tool data.",2.2 AI system security vulnerabilities and attacks,AML.T0020 Poison Training Data; AML.T0010 ML Supply Chain Com…,T1195 Supply Chain Compromise; T1565 Data Manipulation,Art. 10,MAP 2; MEASURE 2.x,A.7
GOV-02,Governance,AI Change Governance,Adapted,Both,T2,"Govern behaviour-altering AI changes (model, prompt, data, tool, config) with re-evaluation triggers.",7.3 Lack of capability or robustness,AML.T0018 Manipulate / Backdoor ML Model; AML.T0010 ML Supply…,T1195 Supply Chain Compromise; T1565 Data Manipulation,"Art. 9, 17",MANAGE 1.x,A.6
GOV-03,Governance,Third-Party & Supply-Chain Oversight,Adapted,Both,T3,Assess and contractually bind AI suppliers and the model supply chain.,6.5 Governance failure,AML.T0010 ML Supply Chain Compromise; AML.T0058 Publish Poiso…,T1195 Supply Chain Compromise; T1199 Trusted Relationship,Art. 25,GOVERN 6.1,A.10
GOV-04,Governance,Model Training Governance,Adapted,General AI,T3,"Ensure secure, reproducible, bias-screened model training with documented data lineage.",1.1 Unfair discrimination and misrepresentation,AML.T0020 Poison Training Data; AML.T0018 Manipulate / Backdo…,T1195 Supply Chain Compromise; T1565 Data Manipulation,Art. 10,MAP; MEASURE,"A.7, A.6.2"
GOV-05,Governance,Model Evaluation,Adapted,General AI,T2,"Validate model quality, bias, robustness and use-case suitability before deployment.",7.3 Lack of capability or robustness,AML.T0043 Craft Adversarial Data; AML.T0031 Erode ML Model In…,N/A,Art. 15,"MEASURE 2.1, 2.3",A.6.2
GOV-06,Governance,Model Continuous Improvement & Drift Management,Adapted,General AI,T3,Manage production drift with monitoring thresholds and retraining triggers.,7.3 Lack of capability or robustness,AML.T0031 Erode ML Model Integrity; AML.T0020 Poison Training…,N/A,Art. 72,MANAGE 4.1,"A.6.2, A.9"
GOV-07,Governance,AI Lifecycle & Registry Management,Adapted,Both,T3,"Version and govern all AI artefacts (model, prompts, tools, memory, agent configs) across the lifecycle.",7.3 Lack of capability or robustness,AML.T0018 Manipulate / Backdoor ML Model; AML.T0010 ML Supply…,T1195 Supply Chain Compromise; T1565 Data Manipulation,"Art. 11, 17",GOVERN; MAP 1.x,A.6
GOV-08,Governance,Environmental & Carbon Governance,Adapted,General AI,T3,"Estimate and govern the environmental and carbon footprint of AI training, hosting and inference.",6.6 Environmental harm,AML.T0034 Cost Harvesting; AML.T0029 Denial of ML Service,N/A,Art. 40 (rec.),GOVERN 1.x,A.4 (+ CSRD/GHG)
SEC-01,Security,Multi-Agent Coordination Security,AI-Native,Agentic,T2,"Secure inter-agent communication, hierarchy and emergent behaviour in multi-agent systems.",7.6 Multi-agent risks,"AML.TA0015 Command and Control (tactic, new in v5.1.0); AML.T…",Agentic Orchestration* Autonomous killchain orchestration (no ATT&CK ID yet); TA0011 Command and Control (tactic),Art. 15,MANAGE 4.1,A.6.2
SEC-02,Security,Agent Identity & Least-Privilege Authorization,Adapted,Agentic,T1,Give each agent a unique identity with just-in-time least-privilege authorization.,2.2 AI system security vulnerabilities and attacks,AML.T0055 Unsecured Credentials; AML.T0051 LLM Prompt Injecti…,T1078 Valid Accounts; T1078.003 Valid Accounts: Local Accounts; T1003 OS Credential Dumping,Art. 15,MANAGE 2.x,A.9 (+ ISO 27001)
SEC-03,Security,Prompt Injection & Adversarial Input Defense,AI-Native,Both,T1,Detect and block direct and indirect prompt-injection and adversarial inputs.,2.2 AI system security vulnerabilities and attacks,AML.T0051 LLM Prompt Injection (Initial Access); AML.T0051.00…,T1190 Exploit Public-Facing Application; T1566 Phishing; T1059 Command and Scripting Interpreter,Art. 15,MEASURE 2.7,A.6.2
SEC-04,Security,"Observability, Anomaly Detection & Incident Response",Adapted,Both,T1,"Emit per-call agent traces, detect behavioural anomalies and run AI-specific incident response.",2.2 AI system security vulnerabilities and attacks,AML.T0074 Masquerading (Defense Evasion); AML.T0024 Exfiltrat…,T1562 Impair Defenses; T1087 Account Discovery; T1021 Remote Services; T1020 Automated Exfiltration,"Art. 12, 15, 72",MEASURE 2.x; MANAGE,A.9
SEC-05,Security,AI Threat Modeling,Adapted,Both,T2,Model AI-specific and agentic-orchestration threats pre-deployment and map them to mitigations.,2.2 AI system security vulnerabilities and attacks,AML.T0051 LLM Prompt Injection (Initial Access); AML.T0020 Po…,Agentic Orchestration* Autonomous killchain orchestration (no ATT&CK ID yet); T1587 Develop Capabilities; T1210 Exploitation of Remote Services,"Art. 9, 15",MAP 5.1; MEASURE 2.7,A.5
SEC-06,Security,AI Security Testing & Red-Teaming,Adapted,Both,T2,"Test AI systems against adversarial, injection, jailbreak and extraction attacks in the release pipeline.",2.2 AI system security vulnerabilities and attacks,AML.T0043 Craft Adversarial Data; AML.T0054 LLM Jailbreak; AML…,T1587 Develop Capabilities; T1190 Exploit Public-Facing Application; T1210 Exploitation of Remote Services,Art. 15,MEASURE 2.7,A.6.2
SEC-07,Security,Memory & Context Lifecycle Security,AI-Native,Both,T2,"Isolate, govern and expire agent memory and context to prevent leakage and poisoned persistence.",2.1 Compromise of privacy (leaking / inferring sensitive info),AML.T0057 LLM Data Leakage; AML.T0051.001 LLM Prompt Injectio…,T1005 Data from Local System; T1074 Data Staged,"Art. 10, 15",MANAGE 2.x,A.7
